,time,open,high,low,close,tick_volume,spread,real_volume
148,2021-07-14 02:00:00,1.17756,1.18387,1.17719,1.18374,44456,2,0
149,2021-07-15 02:00:00,1.18348,1.18506,1.17962,1.18114,42039,2,0
150,2021-07-16 02:00:00,1.18121,1.1822300000000001,1.17922,1.18056,38710,2,0
151,2021-07-19 02:00:00,1.18067,1.18244,1.17639,1.17999,49594,2,0
152,2021-07-20 02:00:00,1.17997,1.18025,1.17555,1.1781,48494,2,0
153,2021-07-21 02:00:00,1.17835,1.18047,1.17519,1.17936,39435,2,0
154,2021-07-22 02:00:00,1.17923,1.18304,1.17574,1.177,45574,2,0
155,2021-07-23 02:00:00,1.17706,1.17865,1.17545,1.17693,33202,2,0
156,2021-07-26 02:00:00,1.17734,1.18173,1.17633,1.18025,36505,2,0
157,2021-07-27 02:00:00,1.18028,1.1841,1.1770100000000001,1.18154,41189,2,0
158,2021-07-28 02:00:00,1.1816200000000001,1.18495,1.17731,1.18437,45220,2,0
159,2021-07-29 02:00:00,1.18429,1.1892800000000001,1.18407,1.18851,33874,2,0
160,2021-07-30 02:00:00,1.18871,1.19086,1.18516,1.1873,37985,2,0
161,2021-08-02 02:00:00,1.18683,1.18968,1.18589,1.1871800000000001,32507,2,0
162,2021-08-03 02:00:00,1.18683,1.18933,1.18536,1.18639,33661,2,0
163,2021-08-04 02:00:00,1.18624,1.18997,1.18327,1.18378,34942,2,0
164,2021-08-05 02:00:00,1.18361,1.1857199999999999,1.18281,1.18308,32649,2,0
165,2021-08-06 02:00:00,1.18321,1.18353,1.17543,1.17611,34603,2,0
166,2021-08-09 02:00:00,1.1758,1.17688,1.17349,1.17354,31748,2,0
167,2021-08-10 02:00:00,1.17357,1.17427,1.17097,1.17203,28043,2,0
168,2021-08-11 02:00:00,1.17179,1.17535,1.1706,1.17404,31395,2,0
169,2021-08-12 02:00:00,1.1738,1.17482,1.17236,1.1734,24802,2,0
170,2021-08-13 02:00:00,1.17291,1.18046,1.17278,1.17961,23630,2,0
171,2021-08-16 02:00:00,1.17931,1.18007,1.1767400000000001,1.17761,25645,2,0
172,2021-08-17 02:00:00,1.17769,1.17844,1.17081,1.17096,34683,2,0
173,2021-08-18 02:00:00,1.17095,1.17427,1.16937,1.17105,31813,2,0
174,2021-08-19 02:00:00,1.1708,1.17154,1.16657,1.16778,38781,2,0
175,2021-08-20 02:00:00,1.16749,1.17044,1.1663999999999999,1.16995,30456,2,0
176,2021-08-23 02:00:00,1.16907,1.17502,1.16907,1.17443,29219,2,0
177,2021-08-24 02:00:00,1.17451,1.1764999999999999,1.17271,1.17573,27051,2,0
178,2021-08-25 02:00:00,1.17544,1.1774499999999999,1.17261,1.17723,28486,2,0
179,2021-08-26 02:00:00,1.17705,1.17789,1.17459,1.17516,30731,2,0
180,2021-08-27 02:00:00,1.17511,1.18023,1.17349,1.17958,35920,2,0
181,2021-08-30 02:00:00,1.17948,1.18097,1.17827,1.17968,22994,2,0
182,2021-08-31 02:00:00,1.17963,1.1844999999999999,1.17937,1.18089,36102,2,0
183,2021-09-01 02:00:00,1.18088,1.1857,1.17936,1.18387,31721,2,0
184,2021-09-02 02:00:00,1.18386,1.18759,1.18343,1.1875499999999999,26508,2,0
185,2021-09-03 02:00:00,1.1874500000000001,1.1909,1.1865700000000001,1.18774,34942,2,0
186,2021-09-06 02:00:00,1.18791,1.18863,1.18557,1.18687,19520,2,0
187,2021-09-07 02:00:00,1.18695,1.18851,1.18374,1.18424,35096,2,0
188,2021-09-08 02:00:00,1.18386,1.1851,1.1802,1.18175,37029,2,0
189,2021-09-09 02:00:00,1.18159,1.18412,1.18052,1.1823,38055,2,0
190,2021-09-10 02:00:00,1.18242,1.1851099999999999,1.18094,1.18107,33229,2,0
191,2021-09-13 02:00:00,1.18153,1.1817,1.1770100000000001,1.18106,32905,2,0
192,2021-09-14 02:00:00,1.18106,1.18457,1.18,1.18045,35972,2,0
193,2021-09-15 02:00:00,1.18019,1.1831800000000001,1.17992,1.18155,35141,2,0
194,2021-09-16 02:00:00,1.18166,1.18205,1.17504,1.17685,35771,2,0
195,2021-09-17 02:00:00,1.17638,1.17888,1.17245,1.17257,36369,2,0
196,2021-09-20 02:00:00,1.17298,1.17364,1.17001,1.17277,38792,0,0
197,2021-09-21 02:00:00,1.17246,1.17487,1.17149,1.17253,38423,2,0
198,2021-09-22 02:00:00,1.17242,1.17556,1.1684700000000001,1.16897,47821,2,0
199,2021-09-23 02:00:00,1.1687,1.16887,1.16866,1.16878,34,6,0
